Nama Warna;HEX;Warna RGB
Aqua;#00FFFF;rgb(0, 255, 254)
Aquamarine;#7FFFD4;rgb(115, 255, 216)
Black;#000000;rgb(0, 0, 0)
Blue;#0000FF;rgb(0, 0, 255)
Blue Violet;#8A2BE2;rgb(138, 43, 226)
Brown;#A52A2A;rgb(165, 42, 42)
Burly Wood;#DEB887;rgb(222, 184, 135)
Cadet Blue;#5F9EA0;rgb(95, 158, 160)
Chartreuse;#7FFF00;rgb(127, 255, 1)
Chocolate;#D2691E;rgb(210, 105, 30)
Coral;#FF7F50;rgb(251, 127, 80)
Cornflower Blue;#6495ED;rgb(100, 149, 237)
Crimson;#DC143C;rgb(220, 20, 60)
Cyan;#00FFFF;rgb(62, 254, 255)
Dark Blue;#00008B;rgb(0, 0, 139)
Dark Cyan;#008B8B;rgb(29, 139, 139)
Dark Golden Rod;#B8860B;rgb(184, 134, 11)
Dark Gray;#A9A9A9;rgb(169, 169, 169)
Dark Green;#006400;rgb(19, 100, 0)
Dark Khaki;#BDB76B;rgb(189, 183, 107)
Dark Magenta;#8B008B;rgb(139, 0, 140)
Dark Olive Green;#556B2F;rgb(85, 107, 47)
Dark Orange;#FF8C00;rgb(251, 140, 1)
Dark Orchid;#9932CC;rgb(153, 50, 204)
Dark Red;#8B0000;rgb(139, 5, 0)
Dark Salmon;#E9967A;rgb(233, 150, 122)
Dark Sea Green;#8FBC8F;rgb(143, 188, 144)
Dark Slate Blue;#483D8B;rgb(72, 61, 139)
Dark Slate Gray;#2F4F4F;rgb(47, 79, 79)
Dark Turquoise;#00CED1;rgb(48, 206, 209)
Dark Violet;#9400D3;rgb(148, 0, 211)
Deep Pink;#FF1493;rgb(249, 19, 147)
Deep Sky Blue;#00BFFF;rgb(43, 191, 254)
Dim Gray;#696969;rgb(105, 105, 105)
Dodger Blue;#1E90FF;rgb(30, 144, 255)
Fire Brick;#B22222;rgb(178, 34, 33)
Forest Green;#228B22;rgb(34, 139, 35)
